"ID","Length","Symbol"
"ENSG00000000003",4535,"TSPAN6"
"ENSG00000000005",1610,"TNMD"
"ENSG00000000419",1207,"DPM1"
"ENSG00000000457",6883,"SCYL3"
"ENSG00000000460",5967,"C1orf112"
"ENSG00000000938",3474,"FGR"
"ENSG00000000971",8145,"CFH"
"ENSG00000001036",2793,"FUCA2"
"ENSG00000001084",8463,"GCLC"
"ENSG00000001167",3811,"NFYA"
"ENSG00000001460",8511,"STPG1"
"ENSG00000001461",9404,"NIPAL3"
"ENSG00000001497",5589,"LAS1L"
"ENSG00000001561",4651,"ENPP4"
"ENSG00000001617",4826,"SEMA3F"
"ENSG00000001626",8517,"CFTR"
"ENSG00000001629",7130,"ANKIB1"
"ENSG00000001630",4074,"CYP51A1"
"ENSG00000001631",6204,"KRIT1"
"ENSG00000002016",4190,"RAD52"
"ENSG00000002079",6307,"MYH16"
"ENSG00000002330",1708,"BAD"
"ENSG00000002549",3785,"LAP3"
"ENSG00000002586",3284,"CD99"
"ENSG00000002586",3284,"CD99"
"ENSG00000002586",3284,"CD99"
"ENSG00000002586",3284,"CD99"
"ENSG00000002587",8166,"HS3ST1"
"ENSG00000002726",3824,"AOC1"
"ENSG00000002745",3261,"WNT16"
"ENSG00000002746",13965,"HECW1"
"ENSG00000002822",7230,"MAD1L1"
"ENSG00000002834",7061,"LASP1"
"ENSG00000002919",3606,"SNX11"
"ENSG00000002933",3479,"TMEM176A"
"ENSG00000003056",3777,"M6PR"
"ENSG00000003096",6983,"KLHL13"
"ENSG00000003137",5015,"CYP26B1"
"ENSG00000003147",4891,"ICA1"
"ENSG00000003249",4791,"DBNDD1"
"ENSG00000003393",10384,"ALS2"
"ENSG00000003400",7598,"CASP10"
"ENSG00000003402",22529,"CFLAR"
"ENSG00000003436",11714,"TFPI"
"ENSG00000003509",3651,"NDUFAF7"
"ENSG00000003756",10368,"RBM5"
"ENSG00000003987",5692,"MTMR7"
"ENSG00000003989",7905,"SLC7A2"
"ENSG00000004059",1871,"ARF5"
"ENSG00000004139",11137,"SARM1"
"ENSG00000004142",2121,"POLDIP2"
"ENSG00000004399",9738,"PLXND1"
"ENSG00000004455",5727,"AK2"
"ENSG00000004468",6855,"CD38"
"ENSG00000004478",5180,"FKBP4"
"ENSG00000004487",5435,"KDM1A"
"ENSG00000004534",7302,"RBM6"
"ENSG00000004660",7424,"CAMKK1"
"ENSG00000004700",3778,"RECQL"
"ENSG00000004766",9454,"VPS50"
"ENSG00000004776",1721,"HSPB6"
"ENSG00000004777",5260,"ARHGAP33"
"ENSG00000004779",1600,"NDUFAB1"
"ENSG00000004799",4519,"PDK4"
"ENSG00000004809",3907,"SLC22A16"
"ENSG00000004838",4009,"ZMYND10"
"ENSG00000004846",9257,"ABCB5"
"ENSG00000004848",3097,"ARX"
"ENSG00000004864",3710,"SLC25A13"
"ENSG00000004866",6742,"ST7"
"ENSG00000004897",6824,"CDC27"
"ENSG00000004939",5287,"SLC4A1"
"ENSG00000004948",4042,"CALCR"
"ENSG00000004961",2335,"HCCS"
"ENSG00000004975",5350,"DVL2"
"ENSG00000005001",2387,"PRSS22"
"ENSG00000005007",8600,"UPF1"
"ENSG00000005020",5520,"SKAP2"
"ENSG00000005022",1500,"SLC25A5"
"ENSG00000005059",3566,"MCUB"
"ENSG00000005073",2307,"HOXA11"
"ENSG00000005075",1355,"POLR2J"
"ENSG00000005100",5872,"DHX33"
"ENSG00000005102",2707,"MEOX1"
"ENSG00000005108",10929,"THSD7A"
"ENSG00000005156",12919,"LIG3"
"ENSG00000005175",5381,"RPAP3"
"ENSG00000005187",7822,"ACSM3"
"ENSG00000005189",4114,"REXO5"
"ENSG00000005194",3509,"CIAPIN1"
"ENSG00000005206",7130,"SPPL2B"
"ENSG00000005238",6409,"FAM214B"
"ENSG00000005243",1851,"COPZ2"
"ENSG00000005249",4318,"PRKAR2B"
"ENSG00000005302",6496,"MSL3"
"ENSG00000005339",15492,"CREBBP"
"ENSG00000005379",11354,"TSPOAP1"
"ENSG00000005381",3526,"MPO"
"ENSG00000005421",2832,"PON1"
"ENSG00000005436",5465,"GCFC2"
"ENSG00000005448",2860,"WDR54"
"ENSG00000005469",4979,"CROT"
"ENSG00000005471",7494,"ABCB4"
"ENSG00000005483",9231,"KMT2E"
"ENSG00000005486",2441,"RHBDD2"
"ENSG00000005513",4432,"SOX8"
"ENSG00000005700",8722,"IBTK"
"ENSG00000005801",5709,"ZNF195"
"ENSG00000005810",15945,"MYCBP2"
"ENSG00000005812",7082,"FBXL3"
"ENSG00000005844",6472,"ITGAL"
"ENSG00000005882",5481,"PDK2"
"ENSG00000005884",9802,"ITGA3"
"ENSG00000005889",9037,"ZFX"
"ENSG00000005893",5526,"LAMP2"
"ENSG00000005961",5551,"ITGA2B"
"ENSG00000005981",4605,"ASB4"
"ENSG00000006007",4416,"GDE1"
"ENSG00000006015",3370,"C19orf60"
"ENSG00000006016",3018,"CRLF1"
"ENSG00000006025",6572,"OSBPL7"
"ENSG00000006042",5187,"TMEM98"
"ENSG00000006047",4618,"YBX2"
"ENSG00000006059",1287,"KRT33A"
"ENSG00000006062",5852,"MAP3K14"
"ENSG00000006071",6778,"ABCC8"
"ENSG00000006116",3088,"CACNG3"
"ENSG00000006118",7271,"TMEM132A"
"ENSG00000006125",7587,"AP2B1"
"ENSG00000006128",1888,"TAC1"
"ENSG00000006194",6945,"ZNF263"
"ENSG00000006210",5983,"CX3CL1"
"ENSG00000006282",5337,"SPATA20"
"ENSG00000006283",9709,"CACNA1G"
"ENSG00000006327",1848,"TNFRSF12A"
"ENSG00000006377",3449,"DLX6"
"ENSG00000006432",12386,"MAP3K9"
"ENSG00000006451",3665,"RALA"
"ENSG00000006453",4798,"BAIAP2L1"
"ENSG00000006459",9430,"KDM7A"
"ENSG00000006468",9616,"ETV1"
"ENSG00000006530",6547,"AGK"
"ENSG00000006534",6626,"ALDH3B1"
"ENSG00000006555",6055,"TTC22"
"ENSG00000006576",8646,"PHTF2"
"ENSG00000006606",706,"CCL26"
"ENSG00000006607",14413,"FARP2"
"ENSG00000006611",4904,"USH1C"
"ENSG00000006625",1597,"GGCT"
"ENSG00000006634",4583,"DBF4"
"ENSG00000006638",2793,"TBXA2R"
"ENSG00000006652",7489,"IFRD1"
"ENSG00000006659",1079,"LGALS14"
"ENSG00000006695",3172,"COX10"
"ENSG00000006704",6498,"GTF2IRD1"
"ENSG00000006712",2668,"PAF1"
"ENSG00000006715",7801,"VPS41"
"ENSG00000006740",9281,"ARHGAP44"
"ENSG00000006744",6345,"ELAC2"
"ENSG00000006747",11623,"SCIN"
"ENSG00000006756",7030,"ARSD"
"ENSG00000006757",3441,"PNPLA4"
"ENSG00000006788",6120,"MYH13"
"ENSG00000006831",5878,"ADIPOR2"
"ENSG00000006837",3057,"CDKL3"
"ENSG00000007001",2957,"UPP2"
"ENSG00000007038",1967,"PRSS21"
"ENSG00000007047",6668,"MARK4"
"ENSG00000007062",7434,"PROM1"
"ENSG00000007080",1660,"CCDC124"
"ENSG00000007129",1964,"CEACAM21"
"ENSG00000007168",8127,"PAFAH1B1"
"ENSG00000007171",4176,"NOS2"
"ENSG00000007174",16980,"DNAH9"
"ENSG00000007202",9235,"KIAA0100"
